amazon city,site,site name,address,city,state,zip code,latitude,longitude
Northern Virginia Area,Site1,Center for Innovation Technology,2214 Rock Hill Road,Herndon,VA,20170,38.96,-77.42
Northern Virginia Area,Site2,Crystal City and Potomac Yard,3535 S Ball Street,Arlington,VA,22202,38.84,-77.05
Washington DC,Site1,Nationals Park/ D.C United Stadium,32-60 R Street,Washington,DC,20024,38.86,-77.01
Washington DC,Site2,Union Station,10 G Street,Washington,DC,20002,38.89,-77
Washington DC,Site3,Hill-East Neighborhood,1430 Pennsylvania Avenue,Washington,DC,20003,38.88,-76.97
Washington DC,Site4,Shaw-Howard University Area,1701 8th Street,Washington,DC,20001,38.91,-77.02
Los Angeles,Site1,Warner Center West San Fernando Valley,21801 Oxnard Street,Woodland Hills,CA,91367,34.1802,-118.6028
Los Angeles,Site2,New Hall Ranch Santa Clarita Valley,24155 Newhall Ranch Road,Santa Clarita,CA,91355,34.4318,-118.5584
Los Angeles,Site3,Pomona Fairplex,1101 McKinley Avenue,Pomona,CA,91768,34.0885,-117.7702
Boston,Site1,Suffolk Downs,525 McChellan Highway,Boston,MA,02128,42.39,-71
Boston,Site2,South Boston Waterfront,591 Congress Street,Boston,MA, 02210,42.34,-71.03
Boston,Site3,Downtown,115 Field Street,Boston,MA,02115,42.35,-71.05
Boston,Site4,South End,321 Harrison Avenue,Boston,MA,02118,42.34,-71.06
New York,Site1,Hudson Yards,371 7th Avenue,New York,NY,10001,40.75,-74
New York,Site2,Long Island City,13-27 Jackson Avenue,Long Island City,NY,11101,40.74,-73.94
New York,Site3,Brooklyn Tech Triangle,20 Jay Street,Brooklyn,NY,11201,40.7,-73.98
New York,Site4,Financial District,120 Broadway,Manhattan,NY,10271,40.7,-74.01
Chicago,Site1,Lincoln Yards,1909 N Clifton Avenue,Chicago,IL,60614,41.91,-87.64
Chicago,Site2,The River District,70 W Madison Street,Chicago,IL,60602,41.89,-87.64
Chicago,Site3,Futton Market,800 W Randolph Street,Chicago,IL,60607,41.88,-87.65
